"Horse Name","Profile URL","Total Runs"
"Diplomatic Ash (IRE)","https://www.skysports.com/racing/form-profiles/horse/1287746/diplomatic-ash-ire","10"
"Royal Mer (FR)","https://www.skysports.com/racing/form-profiles/horse/1171717/royal-mer-fr","20"
"Next Left (IRE)","https://www.skysports.com/racing/form-profiles/horse/1183135/next-left-ire","13"
"Broughshane (IRE)","https://www.skysports.com/racing/form-profiles/horse/1232325/broughshane-ire","9"
"Alto Alto (FR)","https://www.skysports.com/racing/form-profiles/horse/1150631/alto-alto-fr","23"
"Doyouknowwhatimean","https://www.skysports.com/racing/form-profiles/horse/1181400/doyouknowwhatimean","19"
"Pipers Cross (IRE)","https://www.skysports.com/racing/form-profiles/horse/1197369/pipers-cross-ire","25"
"Miss Goldfire (IRE)","https://www.skysports.com/racing/form-profiles/horse/1241370/miss-goldfire-ire","9"
"Ramalamadingdong","https://www.skysports.com/racing/form-profiles/horse/1328263/ramalamadingdong","5"
"Barra Blue","https://www.skysports.com/racing/form-profiles/horse/1293776/barra-blue","10"
"Tuscan Rose (IRE)","https://www.skysports.com/racing/form-profiles/horse/1236909/tuscan-rose-ire","13"
"Lyness Dancer","https://www.skysports.com/racing/form-profiles/horse/1329674/lyness-dancer","5"
"Happy Returns","https://www.skysports.com/racing/form-profiles/horse/1182079/happy-returns","11"
"Activist (FR)","https://www.skysports.com/racing/form-profiles/horse/1190584/activist-fr","14"
"Decorated","https://www.skysports.com/racing/form-profiles/horse/1181049/decorated","19"
"Copper Cove (IRE)","https://www.skysports.com/racing/form-profiles/horse/1181063/copper-cove-ire","16"
"Soigneux Bell (FR)","https://www.skysports.com/racing/form-profiles/horse/1254109/soigneux-bell-fr","6"
"Kingston Bresil","https://www.skysports.com/racing/form-profiles/horse/1310260/kingston-bresil","6"
"What's One More (IRE)","https://www.skysports.com/racing/form-profiles/horse/1281634/whats-one-more-ire","7"
"Tea And Chats (IRE)","https://www.skysports.com/racing/form-profiles/horse/1231966/tea-and-chats-ire","9"
"Low Expectations (IRE)","https://www.skysports.com/racing/form-profiles/horse/1321699/low-expectations-ire","5"
"Little Lady Lucy (IRE)","https://www.skysports.com/racing/form-profiles/horse/1282815/little-lady-lucy-ire","6"
"Storming Nelson (IRE)","https://www.skysports.com/racing/form-profiles/horse/1281939/storming-nelson-ire","9"
"Demoiselle Kap (FR)","https://www.skysports.com/racing/form-profiles/horse/1187906/demoiselle-kap-fr","5"
"Royal King (FR)","https://www.skysports.com/racing/form-profiles/horse/1295791/royal-king-fr","6"
"Koenigsstern (IRE)","https://www.skysports.com/racing/form-profiles/horse/1283539/koenigsstern-ire","10"
"Jolyjump (FR)","https://www.skysports.com/racing/form-profiles/horse/1284570/jolyjump-fr","11"
"Constant Friday (IRE)","https://www.skysports.com/racing/form-profiles/horse/1181441/constant-friday-ire","11"
"Pleasure Garden (USA)","https://www.skysports.com/racing/form-profiles/horse/1073447/pleasure-garden-usa","16"
"Smart Casual","https://www.skysports.com/racing/form-profiles/horse/1234267/smart-casual","14"
"It's A Love Thing","https://www.skysports.com/racing/form-profiles/horse/1137558/its-a-love-thing","4"
"Rock Armour (IRE)","https://www.skysports.com/racing/form-profiles/horse/1300291/rock-armour-ire","14"
"Susiesparkle (IRE)","https://www.skysports.com/racing/form-profiles/horse/1249975/susiesparkle-ire","18"
